scan_time,symbol,security_id,side,score,ltp,gap_pct,rs,rvol,vwap,momentum_5m,momentum_15m,atr_pct,setup_type,regime,nifty
2026-08-21T10:56:58+05:30,VIPIND,3703,LONG,76.05589899164599,313.05,0.5617977528089849,2.8754518567203418,1.5728131517605202,310.2650479286725,0.7665282657297823,1.2516046213093546,0.5635795286010898,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T10:56:58+05:30,POWERGRID,14977,LONG,75.59681097381078,274.4,-0.07552870090634012,3.703703703703686,0.3684773776800342,269.43024047821524,0.18264840182649067,1.1619328661010675,0.40608079966680116,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T10:56:58+05:30,SOUTHWEST,9678,LONG,74.88030911958374,219.74,0.0,2.029066258067514,2.169690016023422,218.70799530055618,0.5734049331027613,0.5871375904601406,0.3692675759663998,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T10:56:58+05:30,SURYAROSNI,3375,LONG,73.76139118495313,221.45,0.0,1.336200979270575,1.383766152302095,219.40378219419182,0.6247170665459434,1.5023517055573254,0.3950155361309134,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T10:56:58+05:30,JSWENERGY,17869,LONG,72.76665391143362,549.95,0.0,1.4667896678966874,2.3421974204936933,544.292927511761,0.14558689717925066,1.3257227030012864,0.24894037986136971,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T11:14:31+05:30,SURYODAY,2970,LONG,77.16745110168226,157.22,0.0,1.7341788533713,2.444851800983563,155.03725643515781,0.4928630864750705,0.8997429305912741,0.36811474367128905,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T11:14:31+05:30,SOUTHWEST,9678,LONG,74.58072067749313,223.3,0.009286344430506481,3.672408189795267,2.209453684030576,219.93499864454867,0.354260089686087,1.3312202852614918,0.3914763397522,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T11:48:11+05:30,ZUARIIND,3827,SHORT,66.72425197952086,278.7,0.2805540943363182,-2.5354082881622664,1.905093968631396,281.0532435424751,-0.4642857142857171,-0.4287245444801635,0.5081194948898692,MOMENTUM_CONTINUATION,NORMAL,0.0
2026-08-21T12:21:52+05:30,YATRA,18760,LONG,73.94063544693083,117.87,0.10467550593161598,2.710003485535029,1.0609960823856508,116.52458104763515,0.3403675970047759,0.786324786324788,0.46840185217434055,ORB_BREAKOUT,NORMAL,0.0
2026-08-21T12:21:52+05:30,SANDHAR,2397,LONG,72.88803562139958,665.4,0.1697530864197566,2.5111693113541755,3.527474316307336,655.0564434408317,1.0698839062144305,0.9243824821942859,0.36819957920048235,ORB_BREAKOUT,NORMAL,0.0
