scan_time,symbol,security_id,side,score,ltp,gap_pct,rs,rvol,vwap,momentum_5m,momentum_15m,atr_pct,setup_type,regime,nifty
2026-08-25T11:05:01+05:30,KIRLOSENG,20936,SHORT,73.82791172879236,2036.6,0.0,-1.5326596721945691,5.113055339049104,2053.6680021172206,-0.5468215994531733,-0.4885197850513001,0.3858927088820055,ORB_BREAKDOWN,NORMAL,0.0
2026-08-25T11:05:01+05:30,SHREEPUSHK,10588,LONG,71.42998520192155,436.15,0.1405481377371803,2.0233918128654915,1.6553353093738423,431.6419755206395,0.31023784901758056,1.3113612626203919,0.7086802913926604,ORB_BREAKOUT,NORMAL,0.0
2026-08-25T11:05:01+05:30,NIITLTD,11522,LONG,68.01120782316306,102.5,0.6054490413723598,2.8084252758274793,1.8130824448329663,101.34589899813282,0.8370260955194553,0.6388206388206363,0.4900221729490015,ORB_BREAKOUT,NORMAL,0.0
2026-08-25T11:29:30+05:30,UNICHEMLAB,3579,LONG,74.75527472393716,536.1,0.04903883876029815,5.10734241741006,3.2435265366087953,525.0439925060705,0.5821596244131477,0.7714016933207946,0.6197019627349789,ORB_BREAKOUT,NORMAL,0.0
2026-08-25T12:02:43+05:30,UNICHEMLAB,3579,LONG,82.21943467180625,546.3,0.04903883876029815,7.107146358200166,1.33065877298417,534.136713598289,0.1369237790963096,1.1805939863493764,0.6902046925304987,ORB_BREAKOUT,NORMAL,0.0
2026-08-25T13:58:02+05:30,NAUKRI,13751,SHORT,73.51892401288826,1328.3,0.0,-1.534469977761308,9.08871694146153,1335.7469989757644,-0.4416498240886413,-0.4714510214772094,0.20102201600515698,ORB_BREAKDOWN,NORMAL,0.0
2026-08-25T13:58:02+05:30,PENIND,20621,SHORT,73.48511612578615,158.71,0.0,-1.4223602484472,21.623313340358607,159.48688551192814,-0.8627204030226765,-0.9562755583516713,0.23998310943384554,ORB_BREAKDOWN,NORMAL,0.0
2026-08-25T14:29:20+05:30,SHREEPUSHK,10588,LONG,80.40343253968256,441.6,0.1405481377371803,3.298245614035093,3.619799318001727,433.6664206931522,0.3979533826037551,0.626780626780632,0.4500230043708298,ORB_BREAKOUT,NORMAL,0.0
2026-08-25T14:29:20+05:30,MAZDOCK,509,LONG,75.95461364204465,2571.0,0.0,1.220472440944882,4.12469411517685,2547.328668099645,0.33073929961089377,1.070084666039528,0.23491569582584892,ORB_BREAKOUT,NORMAL,0.0
2026-08-25T14:29:20+05:30,SOUTHWEST,9678,SHORT,74.65894892818899,208.51,-0.8073764851598785,-3.5702723951348094,12.268185716035772,211.88259701800132,-0.7415913114204975,-2.4727341105678757,0.30221990799421156,ORB_BREAKDOWN,NORMAL,0.0
