open,high,low,close,volume
394.9,394.95,392.3,392.6,372676.0
392.8,394.4,392.6,393.9,204876.0
393.8,394.0,393.35,393.75,173064.0
393.65,393.8,393.1,393.3,136436.0
393.3,393.35,393.0,393.35,167873.0
393.35,393.5,392.75,393.25,147762.0
393.35,393.55,393.15,393.25,74647.0
393.3,393.4,392.75,393.05,89293.0
393.05,393.4,393.0,393.35,87857.0
393.25,394.3,393.15,394.2,180616.0
394.2,394.3,394.0,394.1,110201.0
394.15,394.25,393.75,394.1,110224.0
394.15,394.8,394.0,394.7,147692.0
394.65,395.35,394.4,395.1,432875.0
395.05,395.4,394.35,394.55,345287.0
394.5,395.35,394.35,395.05,384388.0
395.1,395.25,394.9,395.0,133053.0
395.0,395.55,395.0,395.45,240274.0
395.45,396.1,395.45,396.0,447375.0
396.0,396.0,395.55,395.65,64982.0
395.6,395.7,395.2,395.35,87543.0
395.35,395.55,393.5,393.65,169242.0
393.65,394.05,392.8,393.2,464174.0
393.45,394.0,393.3,393.7,123028.0
393.65,393.9,393.1,393.3,109878.0
393.35,394.6,393.25,394.4,121730.0
394.45,394.45,393.55,393.65,75367.0
393.6,394.25,393.4,393.6,148063.0
393.65,394.2,393.25,394.1,131849.0
394.15,394.3,393.5,393.5,124737.0
393.5,393.6,392.85,393.0,997522.0
393.0,393.0,392.75,392.75,83993.0
392.85,393.0,392.45,392.45,124744.0
392.5,393.0,392.15,393.0,110128.0
392.9,395.05,392.85,394.8,2693568.0
