ticker,security_id
COROMANDEL,739
CREDITACC,4421
CROMPTON,17094
DALBHARAT,8075
DCMSHRIRAM,811
DEEPAKNTR,19943
DELHIVERY,9599
DEVYANI,5373
DIAMONDYD,21840
DOMS,20551
EASEMYTRIP,2792
EBGNG,757862
ECLERX,14713
EIDPARRY,916
ELGIEQUIP,937
EMSLIMITED,18593
EPACKPEB,759251
EQUITASBNK,913
ETERNAL,5097
EUROTEXIND,8886
EXICOM,22947
FINCABLES,1038
FINPIPE,1041
FISCHER,757658
FORTIS,14592
FSL,14304
GABRIEL,1085
GANESHHOU,14339
GARFIBRES,1100
GATEWAY,8510
GENUSPOWER,11905
GEOJITFSL,11896
GICRE,277
GLAXO,1153
GMRAIRPORT,13528
GNFC,1174
GOCLCORP,3963
GOCOLORS,6964
GODFRYPHLP,1181
GODREJIND,10925
GPIL,13409
GRANDOAK,762695
GRASIM,1232
GREAVESCOT,1235
GRINFRA,5054
GROWW,759806
GSFC,1247
GSLSU,14599
GUJGASLTD,10599
GULFOILLUB,4391
HALDER,760715
HAVELLS,9819
HCC,1375
HCG,15555
HDBFS,757772
HDFCAMC,4244
HEG,1336
HEXT,29666
HFCL,21951
HGINFRA,1672
HIKAL,9668
HINDCOPPER,17939
HINDPETRO,1406
HISARMETAL,19322
HOMEFIRST,2056
HSCL,14334
HUDCO,20825
HYUNDAI,25844
IBULLSLTD,25003
ICICIAMC,760407
IDBI,1476
IDEA,14366
IEX,220
IFCI,1491
INDHOTEL,1512
INDIAMART,10726
INDOCO,11677
INDUSTOWER,29135
INOXGREEN,12188
INOXWIND,7852
IONEXCHANG,1630
IRCTC,13611
IREDA,20261
IRFC,2029
ITCHOTELS,29251
ITDC,19299
J&KBANK,5633
JAGRAN,13211
JAIBALAJI,14076
JAINREC,759244
JAMNAAUTO,20778
JINDALSAW,3024
JIOFIN,18143
JISLJALEQS,10397
JKIL,15266
JKLAKSHMI,13491
JKPAPER,11860
JMFINANCIL,13637
JSWINFRA,19020
JTEKTINDIA,3237
JUBLFOOD,18096
JUBLINGREA,2783
JUBLPHARMA,3637
JUSTDIAL,29962
JYOTISTRUC,1802
KAJARIACER,1808
KALYANKJIL,2955
KARURVYSYA,1838
KFINTECH,13359
KIMS,4847
KIRIINDUS,16639
KIRLOSBROS,18581
KIRLOSENG,20936
KNRCON,15283
KPRMILL,14912
KRBL,10577
KSB,1949
LALPATHLAB,11654
LENSKART,759605
LGEINDIA,760213
LICI,9480
LLOYDSENGG,17801
LLOYDSME,17313
LODHA,3220
LOTUSEYE,16807
LTF,24948
LTFOODS,13816
LUMAXTECH,14014
LUXIND,11301
LXCHEM,2841
MAHLOG,385
MAHSEAMLES,2088
MAITHANALL,24538
MANAPPURAM,19061
MARKSANS,10579
MASFIN,199
MATRIMONY,21726
MAXESTATES,19646
MAXHEALTH,22377
MAZDA,18866
MCLOUD,29482
MCX,31181
MEDANTA,11956
MEESHO,760229
MERCANTILE,762792
METROPOLIS,9581
MFSL,2142
MHRIL,17333
MIDHANI,2463
MOTISONS,20788
MSTCLTD,9356
NAM-INDIA,357
NARMADA,6364
NECCLTD,13522
NESCO,15409
NFL,13925
NIACL,399
NIITLTD,11522
NITTAGELA,762824
NLCINDIA,8585
NTPCGREEN,27176
NUCLEUS,10791
NYKAA,6545
OLAELEC,24777
OMNI,760865
ORIENTCEM,30089
ORIENTELEC,2972
ORIENTPPR,2496
PARADEEP,9741
PATANJALI,17029
PAYTM,6705
PCBL,2649
PDSL,5264
PENIND,20621
PIDILITIND,2664
PIIND,24184
PINELABS,759820
PIXTRANS,9087
PNBGILTS,8736
PNBHOUSING,18908
POLICYBZR,6656
POONAWALLA,11403
POWERINDIA,8693
POWERMECH,10473
PPAP,15209
PRAJIND,2705
PREMIERENE,25049
PRICOLLTD,19631
PRINCEPIPE,16045
PSPPROJECT,20877
PTC,11355
PUNJABCHEM,4344
PURVA,14922
QUICKHEAL,13131
RAINBOW,9408
RAJRATAN,18962
RALLIS,2816
RAMASTEEL,10300
RAMCOCEM,2043
RAMCOSYS,7851
RAMKY,20134
RAYMOND,2859
RCF,2866
REDINGTON,14255
RELAXO,24225
REPL,1480
RGL,15129
RHIM,31163
RITES,3761
RKEC,1547
ROLEXRINGS,5279
ROSSARI,19410
RSWM,2794
RSYSTEMS,13414
RTNPOWER,17520
RUBICON,759316
RUPA,25724
SAFARI,13035
SAKSOFT,11794
SALASAR,21362
SAMHI,18614
SANDHAR,2397
SANGAMIND,4184
SANSERA,5751
SAPPHIRE,6718
SARDAEN,17758
SATIN,13024
SBFC,18026
SCHNEIDER,31234
SCI,3048
SEPC,15308
SESHAPAPER,3066
SHALBY,714
SHALPAINTS,15342
SHANKARA,20337
SHARDACROP,4992
SHARDAMOTR,10530
SHEMAROO,5068
SHILPAMED,17752
SHIVALIK,7026
SHREEPUSHK,10588
SHRIRAMFIN,4306
SHYAMMETL,4693
SIGACHI,6664
SIS,21501
SKFINDIA,3186
SOUTHWEST,9678
SPARC,14788
SRF,3273
SUDARSCHEM,3327
SULA,25400
SUMICHEM,19487
SUPRAJIT,11689
SUPREMEIND,3363
SUPREMEINF,15002
SURYAROSNI,3375
SURYODAY,2970
SUTLEJTEX,13801
SUZLON,12018
SWANCORP,27095
SWIGGY,27066
SYMPHONY,24190
SYNGENE,10243
TATACAP,759265
TATACOMM,3721
TATAINVEST,1621
TCIEXP,19223
TCIFINANCE,8722
TDPOWERSYS,25178
TEAMLEASE,13582
TECHNOE,6445
TEJASNET,21131
TEXRAIL,21828
THYROCARE,17032
TIMETECHNO,14707
TIMKEN,14198
TIPSMUSIC,9117
TITAGARH,15414
TMB,18314
TMCV,759782
TMPV,3456
TNPL,3980
TOKYOPLAST,9710
TORNTPOWER,13786
TPLPLASTEH,9219
TREEHOUSE,25082
TREJHARA,7518
TRENT,1964
TRIDENT,9685
TRITURBINE,25584
TRIVENI,13081
TTKPRESTIG,3546
TTML,8954
TVSSCS,18151
UCAL,3570
UFLEX,1053
UNICHEMLAB,3579
UNIENTER,14651
UNIINFO,7797
UNITDSPR,10447
UPL,11287
USHAMART,8840
VAIBHAVGBL,11364
VAKRANGEE,13342
VALIANTORG,330
VARROC,3857
VERA,2666
VERANDA,8890
VGUARD,15362
VINATIORGA,17364
VIPCLOTHNG,14847
VIPIND,3703
VIPULLTD,8424
VISAKAIND,4221
VISHNU,6908
VIVIMEDLAB,11968
VLSFINANCE,3715
VMM,27969
VOLTAS,3718
VSTIND,3724
WAAREEENER,25907
WABAG,20188
WALCHANNAG,3736
WELSPUNLIV,11253
WESTLIFE,11580
WHIRLPOOL,18011
WINDLAS,5366
WINDMACHIN,24969
WIPL,20481
WOCKPHARMA,7506
WSTCSTPAPR,3799
XCHANGING,11705
YATRA,18760
YESBANK,11915
YUKEN,5501
ZEEMEDIA,14003
ZENITHEXPO,4176
ZENITHSTL,14562
ZFCVINDIA,16915
ZODIACLOTH,3821
ZUARI,29050
ZUARIIND,3827
ZYDUSWELL,17635
