ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-09-01 09:30:01,2026-09-01 04:00:01,FULL,NORMAL,24065.85,24048.36,,,,,,True,,
2026-09-01 09:45:01,2026-09-01 04:15:01,FULL,NORMAL,24028.3,24048.83,,,,,,False,,
2026-09-01 10:00:01,2026-09-01 04:30:01,FULL,NORMAL,24019.6,24043.42,,,,,,False,,
2026-09-01 10:15:02,2026-09-01 04:45:02,FULL,NORMAL,24036.95,24041.75,,,,,,False,,
2026-09-01 10:30:02,2026-09-01 05:00:02,FULL,NORMAL,24061.75,24043.0,,,,,,True,,
2026-09-01 10:45:01,2026-09-01 05:15:01,FULL,NORMAL,24065.8,24045.2,,,,,,True,,
2026-09-01 11:00:01,2026-09-01 05:30:01,FULL,NORMAL,24082.8,24047.99,,,,,,True,,
2026-09-01 11:15:01,2026-09-01 05:45:01,FULL,NORMAL,24107.9,24054.1,,,,,,True,,
2026-09-01 11:30:01,2026-09-01 06:00:01,FULL,NORMAL,24128.2,24061.16,,,,,,True,,
2026-09-01 11:45:02,2026-09-01 06:15:02,FULL,NORMAL,24118.6,24065.29,,,,,,True,,
2026-09-01 12:00:01,2026-09-01 06:30:01,FULL,NORMAL,24119.15,24069.05,,,,,,True,,
2026-09-01 12:15:01,2026-09-01 06:45:01,FULL,NORMAL,24117.55,24072.82,,,,,,True,,
2026-09-01 12:30:01,2026-09-01 07:00:01,FULL,NORMAL,24109.6,24074.46,,,,,,True,,
2026-09-01 12:45:01,2026-09-01 07:15:01,FULL,NORMAL,24115.65,24076.22,,,,,,True,,
2026-09-01 13:00:01,2026-09-01 07:30:01,FULL,NORMAL,24092.95,24077.25,,,,,,True,,
2026-09-01 13:15:01,2026-09-01 07:45:01,FULL,NORMAL,24048.6,24077.07,,,,,,False,,
2026-09-01 13:30:01,2026-09-01 08:00:01,FULL,NORMAL,24051.5,24075.53,,,,,,False,,
2026-09-01 13:45:01,2026-09-01 08:15:01,FULL,NORMAL,24032.35,24074.01,,,,,,False,,
