ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-08-12 09:30:01,2026-08-12 04:00:01,FULL,NORMAL,24457.0,24427.99,,,,,,True,,
2026-08-12 09:45:01,2026-08-12 04:15:01,CONSERVATIVE,NORMAL,24427.5,24430.37,,,,,,False,,
2026-08-12 10:00:01,2026-08-12 04:30:01,CONSERVATIVE,NORMAL,24377.1,24422.87,,,,,,False,,
2026-08-12 10:15:01,2026-08-12 04:45:01,CONSERVATIVE,NORMAL,24363.6,24413.4,,,,,,False,,
2026-08-12 10:30:02,2026-08-12 05:00:02,CONSERVATIVE,NORMAL,24371.9,24408.88,,,,,,False,,
2026-08-12 10:45:01,2026-08-12 05:15:01,CONSERVATIVE,NORMAL,24374.65,24406.06,,,,,,False,,
2026-08-12 11:00:02,2026-08-12 05:30:02,CONSERVATIVE,NORMAL,24319.9,24397.54,,,,,,False,,
2026-08-12 11:15:01,2026-08-12 05:45:01,CONSERVATIVE,NORMAL,24302.55,24376.57,,,,,,False,,
2026-08-12 11:30:02,2026-08-12 06:00:02,CONSERVATIVE,NORMAL,24293.2,24368.02,,,,,,False,,
2026-08-12 11:45:01,2026-08-12 06:15:01,CONSERVATIVE,NORMAL,24294.5,24361.74,,,,,,False,,
2026-08-12 12:00:01,2026-08-12 06:30:01,CONSERVATIVE,NORMAL,24277.95,24355.57,,,,,,False,,
2026-08-12 12:15:01,2026-08-12 06:45:01,CONSERVATIVE,NORMAL,24267.35,24350.36,,,,,,False,,
2026-08-12 12:30:01,2026-08-12 07:00:01,CONSERVATIVE,NORMAL,24282.05,24346.56,,,,,,False,,
2026-08-12 12:45:02,2026-08-12 07:15:02,CONSERVATIVE,NORMAL,24284.6,24343.18,,,,,,False,,
2026-08-12 13:00:01,2026-08-12 07:30:01,CONSERVATIVE,NORMAL,24275.3,24339.58,,,,,,False,,
2026-08-12 13:15:01,2026-08-12 07:45:01,CONSERVATIVE,NORMAL,24287.45,24336.73,,,,,,False,,
2026-08-12 13:30:02,2026-08-12 08:00:02,CONSERVATIVE,NORMAL,24295.0,24334.63,,,,,,False,,
2026-08-12 13:45:01,2026-08-12 08:15:01,CONSERVATIVE,NORMAL,24290.4,24333.03,,,,,,False,,
