ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-08-11 09:30:01,2026-08-11 04:00:01,CONSERVATIVE,NORMAL,24482.65,24512.19,,,,,,False,,
2026-08-11 09:45:02,2026-08-11 04:15:02,CONSERVATIVE,NORMAL,24479.9,24504.18,,,,,,False,,
2026-08-11 10:00:01,2026-08-11 04:30:01,CONSERVATIVE,NORMAL,24487.35,24497.96,,,,,,False,,
2026-08-11 10:15:01,2026-08-11 04:45:01,CONSERVATIVE,NORMAL,24473.4,24495.61,,,,,,False,,
2026-08-11 10:30:01,2026-08-11 05:00:01,CONSERVATIVE,NORMAL,24479.15,24492.49,,,,,,False,,
2026-08-11 10:45:02,2026-08-11 05:15:02,CONSERVATIVE,NORMAL,24473.8,24490.69,,,,,,False,,
2026-08-11 11:00:01,2026-08-11 05:30:01,CONSERVATIVE,NORMAL,24470.35,24489.0,,,,,,False,,
2026-08-11 11:15:01,2026-08-11 05:45:01,CONSERVATIVE,NORMAL,24449.5,24485.39,,,,,,False,,
2026-08-11 11:30:02,2026-08-11 06:00:02,CONSERVATIVE,NORMAL,24443.8,24481.98,,,,,,False,,
2026-08-11 11:45:01,2026-08-11 06:15:01,CONSERVATIVE,NORMAL,24448.35,24478.37,,,,,,False,,
2026-08-11 12:00:01,2026-08-11 06:30:01,CONSERVATIVE,NORMAL,24445.35,24475.77,,,,,,False,,
2026-08-11 12:15:01,2026-08-11 06:45:01,CONSERVATIVE,NORMAL,24444.5,24472.64,,,,,,False,,
2026-08-11 12:30:01,2026-08-11 07:00:01,CONSERVATIVE,NORMAL,24440.3,24469.77,,,,,,False,,
2026-08-11 12:45:01,2026-08-11 07:15:01,CONSERVATIVE,NORMAL,24450.6,24467.89,,,,,,False,,
2026-08-11 13:00:02,2026-08-11 07:30:02,CONSERVATIVE,NORMAL,24441.6,24466.3,,,,,,False,,
2026-08-11 13:15:01,2026-08-11 07:45:01,CONSERVATIVE,NORMAL,24452.65,24465.4,,,,,,False,,
2026-08-11 13:30:01,2026-08-11 08:00:01,CONSERVATIVE,NORMAL,24456.65,24464.57,,,,,,False,,
2026-08-11 13:45:01,2026-08-11 08:15:01,CONSERVATIVE,NORMAL,24460.75,24464.44,,,,,,False,,
