ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-08-24 09:30:01,2026-08-24 04:00:01,FULL,NORMAL,24287.1,24297.66,,,,,,False,,
2026-08-24 09:45:02,2026-08-24 04:15:02,FULL,NORMAL,24282.5,24292.29,,,,,,False,,
2026-08-24 10:00:01,2026-08-24 04:30:01,FULL,NORMAL,24270.6,24288.21,,,,,,False,,
2026-08-24 10:15:01,2026-08-24 04:45:01,FULL,NORMAL,24275.2,24285.73,,,,,,False,,
2026-08-24 10:30:01,2026-08-24 05:00:01,FULL,NORMAL,24277.55,24284.69,,,,,,False,,
2026-08-24 10:45:01,2026-08-24 05:15:01,FULL,NORMAL,24279.8,24283.9,,,,,,False,,
2026-08-24 11:00:02,2026-08-24 05:30:02,FULL,NORMAL,24243.5,24281.15,,,,,,False,,
2026-08-24 11:15:01,2026-08-24 05:45:01,FULL,NORMAL,24210.2,24274.33,,,,,,False,,
2026-08-24 11:30:02,2026-08-24 06:00:02,FULL,NORMAL,24203.25,24268.4,,,,,,False,,
2026-08-24 11:45:01,2026-08-24 06:15:01,FULL,NORMAL,24188.6,24260.76,,,,,,False,,
2026-08-24 12:00:01,2026-08-24 06:30:01,FULL,NORMAL,24182.4,24255.92,,,,,,False,,
2026-08-24 12:15:01,2026-08-24 06:45:01,FULL,NORMAL,24194.05,24250.58,,,,,,False,,
2026-08-24 12:30:01,2026-08-24 07:00:01,FULL,NORMAL,24185.95,24247.09,,,,,,False,,
2026-08-24 12:45:02,2026-08-24 07:15:02,FULL,NORMAL,24181.4,24243.67,,,,,,False,,
2026-08-24 13:00:01,2026-08-24 07:30:01,FULL,NORMAL,24181.8,24240.13,,,,,,False,,
2026-08-24 13:15:01,2026-08-24 07:45:01,FULL,NORMAL,24166.7,24234.84,,,,,,False,,
2026-08-24 13:30:01,2026-08-24 08:00:01,FULL,NORMAL,24178.85,24232.03,,,,,,False,,
2026-08-24 13:45:01,2026-08-24 08:15:01,FULL,NORMAL,24167.0,24229.32,,,,,,False,,
