ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-08-20 09:30:01,2026-08-20 04:00:01,FULL,NORMAL,24189.5,24196.95,,,,,,False,,
2026-08-20 09:45:01,2026-08-20 04:15:01,FULL,NORMAL,24213.15,24198.46,,,,,,True,,
2026-08-20 10:00:01,2026-08-20 04:30:01,FULL,NORMAL,24207.0,24199.81,,,,,,True,,
2026-08-20 10:15:01,2026-08-20 04:45:01,FULL,NORMAL,24223.75,24201.71,,,,,,True,,
2026-08-20 10:30:01,2026-08-20 05:00:01,FULL,NORMAL,24210.3,24203.56,,,,,,True,,
2026-08-20 10:45:01,2026-08-20 05:15:01,FULL,NORMAL,24212.0,24204.29,,,,,,True,,
2026-08-20 11:00:01,2026-08-20 05:30:01,FULL,NORMAL,24214.15,24204.93,,,,,,True,,
2026-08-20 11:15:01,2026-08-20 05:45:01,FULL,NORMAL,24204.45,24205.5,,,,,,False,,
2026-08-20 11:30:01,2026-08-20 06:00:01,FULL,NORMAL,24202.4,24204.89,,,,,,False,,
2026-08-20 11:45:01,2026-08-20 06:15:01,FULL,NORMAL,24212.55,24205.45,,,,,,True,,
2026-08-20 12:00:01,2026-08-20 06:30:01,FULL,NORMAL,24217.3,24206.06,,,,,,True,,
2026-08-20 12:15:01,2026-08-20 06:45:01,FULL,NORMAL,24216.2,24206.55,,,,,,True,,
2026-08-20 12:30:01,2026-08-20 07:00:01,FULL,NORMAL,24212.65,24206.99,,,,,,True,,
2026-08-20 12:45:01,2026-08-20 07:15:01,FULL,NORMAL,24217.1,24207.43,,,,,,True,,
2026-08-20 13:00:01,2026-08-20 07:30:01,FULL,NORMAL,24244.85,24210.41,,,,,,True,,
2026-08-20 13:15:01,2026-08-20 07:45:01,FULL,NORMAL,24249.0,24212.35,,,,,,True,,
2026-08-20 13:30:01,2026-08-20 08:00:01,FULL,NORMAL,24249.9,24213.7,,,,,,True,,
2026-08-20 13:45:01,2026-08-20 08:15:01,FULL,NORMAL,24246.95,0,,,,,,,,
