ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-08-27 09:30:02,2026-08-27 04:00:02,FULL,NORMAL,24203.95,24243.0,,,,,,False,,
2026-08-27 09:45:01,2026-08-27 04:15:01,FULL,NORMAL,24213.1,24229.36,,,,,,False,,
2026-08-27 10:00:02,2026-08-27 04:30:02,FULL,NORMAL,24195.95,24225.84,,,,,,False,,
2026-08-27 10:15:01,2026-08-27 04:45:01,FULL,NORMAL,24184.05,24220.38,,,,,,False,,
2026-08-27 10:30:02,2026-08-27 05:00:02,FULL,NORMAL,24182.2,24216.63,,,,,,False,,
2026-08-27 10:45:02,2026-08-27 05:15:02,FULL,NORMAL,24170.8,24213.3,,,,,,False,,
2026-08-27 11:00:02,2026-08-27 05:30:02,FULL,NORMAL,24158.8,24208.68,,,,,,False,,
2026-08-27 11:15:01,2026-08-27 05:45:01,FULL,NORMAL,24155.95,24204.11,,,,,,False,,
2026-08-27 11:30:01,2026-08-27 06:00:01,FULL,NORMAL,24145.35,24198.77,,,,,,False,,
2026-08-27 11:45:01,2026-08-27 06:15:01,FULL,NORMAL,24152.1,24194.98,,,,,,False,,
2026-08-27 12:00:02,2026-08-27 06:30:02,FULL,NORMAL,24158.5,24192.19,,,,,,False,,
2026-08-27 12:15:01,2026-08-27 06:45:01,FULL,NORMAL,24156.05,24188.45,,,,,,False,,
2026-08-27 12:30:02,2026-08-27 07:00:02,FULL,NORMAL,24154.9,24185.81,,,,,,False,,
2026-08-27 12:45:01,2026-08-27 07:15:01,FULL,NORMAL,24173.25,24184.46,,,,,,False,,
2026-08-27 13:00:01,2026-08-27 07:30:01,FULL,NORMAL,24179.25,24184.16,,,,,,False,,
2026-08-27 13:15:01,2026-08-27 07:45:01,FULL,NORMAL,24192.65,24184.23,,,,,,True,,
2026-08-27 13:30:01,2026-08-27 08:00:01,FULL,NORMAL,24185.0,24184.34,,,,,,True,,
2026-08-27 13:45:02,2026-08-27 08:15:02,FULL,NORMAL,24164.25,24183.97,,,,,,False,,
